1,100,no,ANIMALS,-,These rodents first got to America by stowing away on ships,rats,1984-09-10,-
1,200,no,ANIMALS,-,"There are about 40,000 muscles & tendons in this part of an elephant's body",the trunk,1984-09-10,-
1,300,no,ANIMALS,-,"When husbands ""pop"" for an ermine coat, they're actually buying this fur",a weasel,1984-09-10,-
1,400,no,ANIMALS,-,"Close relative of the pig, though its name means ""river horse\""",the hippopotamus,1984-09-10,-
1,500,no,ANIMALS,-,"If this species of hybrid's parents were reversed, you'd get a hinny",mule,1984-09-10,-
1,100,no,ACTORS & ROLES,-,Video in which Michael Jackson plays a werewolf & a zombie,"\""Thriller\""",1984-09-10,-
1,200,no,ACTORS & ROLES,-,"2 ""Saturday Night"" alumni who tried ""Trading Places\""",Dan Aykroyd & Eddie Murphy,1984-09-10,-
1,300,no,ACTORS & ROLES,-,"He may ""Never Say Never Again"" when asked to be Bond",Sean Connery,1984-09-10,-
1,400,no,ACTORS & ROLES,-,"The blonde preferred in the film ""Gentlemen Prefer Blondes\""",Marilyn Monroe,1984-09-10,-
1,500,no,ACTORS & ROLES,-,"Sam Shepard played this barrier breaker in ""The Right Stuff\""",Colonel Chuck Yeager,1984-09-10,-
2,200,no,THE BIBLE,-,"When ""Joshua Fit The Battle Of Jericho"", these took a tumble",the walls,1984-09-10,-
2,400,no,THE BIBLE,-,His price was 30 pieces of silver,Judas,1984-09-10,-
2,600,no,THE BIBLE,-,"According to the Bible, it wasn't necessarily an apple",the forbidden fruit (or the fruit of the Tree of Knowledge),1984-09-10,-
2,800,no,THE BIBLE,-,"Though its name means ""city of peace"", it's seen over 30 wars, the last in 1967",Jerusalem,1984-09-10,-
2,1000,no,THE BIBLE,-,"According to 1st Timothy, it is the ""root of all evil\""",the love of money,1984-09-10,-
2,200,no,\'50'S TV,-,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer",private eyes (or private detectives),1984-09-10,-
2,400,no,\'50'S TV,-,"She was ""Our Miss Brooks\""",Eve Arden,1984-09-10,-
2,600,no,\'50'S TV,-,Amount Michael Anthony gave out each week on behalf of John Beresford Tipton,$1 million,1984-09-10,-
2,800,no,\'50'S TV,-,"His card read ""Have gun, will travel\""",Paladin (Richard Boone),1984-09-10,-
2,1000,no,\'50'S TV,-,Name under which experimenter Don Herbert taught viewers all about science,Mr. Wizard,1984-09-10,-
2,200,no,NATIONAL LANDMARKS,-,She came from France to harbor America's freedom,the Statue of Liberty,1984-09-10,-
2,400,no,NATIONAL LANDMARKS,-,"When he was home, George Washington slept here",Mount Vernon,1984-09-10,-
2,600,no,NATIONAL LANDMARKS,-,"The cornerstone of Massachusetts, it bears the date 1620",Plymouth Rock,1984-09-10,-
2,800,no,NATIONAL LANDMARKS,-,"Site where John Hancock signed his ""John Hancock\""",Independence Hall,1984-09-10,-
2,1000,no,NATIONAL LANDMARKS,-,D.C. building shaken by November '83 bomb blast,the Capitol,1984-09-10,-
2,200,no,4-LETTER WORDS,-,Pulled the trigger or what's in a jigger,shot,1984-09-10,-
2,400,no,4-LETTER WORDS,-,Basketball defense or Serling's twilight area,zone,1984-09-10,-
2,600,no,4-LETTER WORDS,-,"Little girls do it with a rope, Van Halen does it in a song",jump,1984-09-10,-
2,1000,yes,4-LETTER WORDS,-,"It's the first 4-letter word in ""The Star Spangled Banner\""",what,1984-09-10,-
2,1000,no,4-LETTER WORDS,-,The president takes one before stepping into office,oath,1984-09-10,-
3,0,no,HOLIDAYS,-,The third Monday of January starting in 1986,Martin Luther King Day,1984-09-10,-
1,100,no,STATE CAPITALS,-,Until 1875 its dual capitals were New Haven & Hartford,Connecticut,1984-09-11,-
1,200,no,STATE CAPITALS,-,This N.M. town is the oldest city that's a state capital,Santa Fe,1984-09-11,-
1,300,no,STATE CAPITALS,-,"Crossing the Delaware on Xmas, 1776, Washington defeated the Hessians at this N.J. capital",Trenton,1984-09-11,-
1,400,no,STATE CAPITALS,-,"It actually is 5,280 feet above sea level",Denver,1984-09-11,-
1,500,no,STATE CAPITALS,-,"The name shows its founder, Roger Williams, believed God led him there",Providence,1984-09-11,-
1,100,no,THE '40'S,-,"Though faster than a speeding bullet, he was ruled 4-F",Superman,1984-09-11,-
1,200,no,THE '40'S,-,"By war's end, they had banked over 13 million units of blood for plasma",the Red Cross,1984-09-11,-
1,300,no,THE '40'S,-,"Not his singing, but a lack of lunch caused fan to swoon at his Paramount Theater concert",Frank Sinatra,1984-09-11,-
1,400,no,THE '40'S,-,"Destination of MacArthur's ""I shall return\""",the Philippines,1984-09-11,-
1,500,no,THE '40'S,-,Wartime pseudonym of Mrs. I. Toguri D'Aquino,Tokyo Rose,1984-09-11,-
1,100,no,TRANSPORTATION,-,"Type of auto engine, or a tomato cocktail",V8,1984-09-11,-
1,200,no,TRANSPORTATION,-,"Lindbergh was not first to fly the Atlantic, but first to do it this way",solo,1984-09-11,-
1,300,no,TRANSPORTATION,-,"Derived from words ""American"", ""travel"", & ""track"", it provides most U.S. passenger rail service",Amtrak,1984-09-11,-
1,400,no,TRANSPORTATION,-,"London's, not New York's, was the first ever built","subway (underground, metro)",1984-09-11,-
1,500,no,TRANSPORTATION,-,"Changing lines, you could have at one time ridden these from Freeport, IL to Utica, NY",streetcars,1984-09-11,-
1,100,no,BY THE NUMBERS,-,The 2 digits that give James Bond license to kill,00,1984-09-11,-
1,200,no,BY THE NUMBERS,-,Three Dog Night called this the loneliest number,"\""One\""",1984-09-11,-
1,300,no,BY THE NUMBERS,-,Number of red stripes on current U.S. flag,7,1984-09-11,-
1,400,yes,BY THE NUMBERS,-,Total of Disney's Dalmatians and dwarfs,108,1984-09-11,-
1,500,no,BY THE NUMBERS,-,Broadway hit that takes Fellini film a ½ step further,Nine,1984-09-11,-
2,200,no,WILD WEST,-,"One of its newspapers was appropriately called ""The Epitaph\""",Tombstone,1984-09-11,-
2,400,no,WILD WEST,-,She once shot a cigarette from the mouth of the German crown prince,Annie Oakley,1984-09-11,-
2,600,no,WILD WEST,-,"In 650,000 miles the mail was lost only once",the Pony Express,1984-09-11,-
