1,200,no,"\""BEST"" WISHES",-,"In this ""scenario"", you look at the most favorable possibility",the best-case scenario,2016-09-12,-
1,400,no,"\""BEST"" WISHES",-,This consumer electronics corporation has annual sales of more than $40 billion,Best Buy,2016-09-12,-
1,600,no,"\""BEST"" WISHES",-,"A lyric by One Direction reminisces, ""And we danced all night to"" this","\""the best song ever\""",2016-09-12,-
1,800,no,"\""BEST"" WISHES",-,BFFL in texting slang,"\""best friends for life\""",2016-09-12,-
1,1000,no,"\""BEST"" WISHES",-,"They're the opening 12 words of ""A Tale of Two Cities\""","\""It was the best of times, it was the worst of times\""",2016-09-12,-
1,200,no,THE QUEEN'S EXPIRATION DATE,-,August 30 B.C. in Alexandria,Cleopatra,2016-09-12,-
1,400,no,THE QUEEN'S EXPIRATION DATE,-,"October 16, 1793 in Paris",Marie Antoinette,2016-09-12,-
1,600,no,THE QUEEN'S EXPIRATION DATE,-,"November 26, 1504 in Medina del Campo, Spain",Isabella,2016-09-12,-
1,800,no,THE QUEEN'S EXPIRATION DATE,-,"January 22, 1901 in the British Isles",Victoria,2016-09-12,-
1,1000,no,THE QUEEN'S EXPIRATION DATE,-,"March 20, 2004 in Baarn, the Netherlands",Queen Juliana,2016-09-12,-
1,200,no,IT'S INTOXICATING,-,It's the main alcoholic ingredient in a Highland Sling,scotch,2016-09-12,-
1,400,no,IT'S INTOXICATING,-,You don't have to live like a monk to enjoy a $399 bottle of this brand of champagne from 1998,Dom Perignon,2016-09-12,-
1,600,no,IT'S INTOXICATING,-,Applejack is a type of this liquor made from apples; Slivovitz is one made from plums,brandy,2016-09-12,-
1,800,no,IT'S INTOXICATING,-,"Named for a region in Tuscany, this red table wine was once recognized by its fiasco, a straw-covered bottle",Chianti,2016-09-12,-
1,1000,no,IT'S INTOXICATING,-,"A tweet in 2016 ""fixed the typo"" on a can of this beer from ""America"" to ""Belgium"", the actual home of its parent company",Budweiser,2016-09-12,-
2,400,no,NATIONAL MEMORIALS,-,"At their national memorial in North Carolina, kids can see a kite-building demonstration & learn about flight",the Wright Brothers,2016-09-12,-
2,800,no,NATIONAL MEMORIALS,-,"Arlington House, The Robert E. Lee Memorial, overlooks this river",the Potomac,2016-09-12,-
2,1200,no,NATIONAL MEMORIALS,-,"Completed in 1941 during WWII, this Black Hills memorial wasn't formally dedicated until 1991 by George H.W. Bush",Mount Rushmore,2016-09-12,-
2,1600,no,NATIONAL MEMORIALS,-,"This word follows ""Johnstown"" in the name of a Pennsylvania national memorial",Flood,2016-09-12,-
2,2000,no,NATIONAL MEMORIALS,-,A park in the heart of Providence houses the memorial to this early champion of religious freedom,Roger Williams,2016-09-12,-
2,400,no,COMPLETE THE ORIGINAL STAR WARS LINE,-,"\""Hey, Luke, may the ____ be with you\""",Force,2016-09-12,-
2,800,no,COMPLETE THE ORIGINAL STAR WARS LINE,-,"\""Hokey religions & ancient weapons are no match for a good ____ at your side\""",blaster,2016-09-12,-
2,1200,no,COMPLETE THE ORIGINAL STAR WARS LINE,-,"\""Let the ____ win\""",Wookiee,2016-09-12,-
2,1600,no,COMPLETE THE ORIGINAL STAR WARS LINE,-,"\""That's no moon, it's a ____ ____\""",space station,2016-09-12,-
2,2000,no,COMPLETE THE ORIGINAL STAR WARS LINE,-,"\""Aren't you a little short for a ____\""",stormtrooper,2016-09-12,-
2,400,no,BEFORE & AFTER,-,A French landmark becomes a Biblical spot where language comprehension breaks down,the Eiffel Tower of Babel,2016-09-12,-
2,800,no,BEFORE & AFTER,-,A New Jersey governor tries a modeling career & marries Billy Joel (for a while),Chris Christie Brinkley,2016-09-12,-
2,1200,no,BEFORE & AFTER,-,Laughing Green Giant exclamation to the first president of Vietnam,"Ho, ho, Ho Chi Minh",2016-09-12,-
2,1600,no,BEFORE & AFTER,-,James Joyce's last novel goes back to school at a university in Winston-Salem,Finnegans Wake Forest,2016-09-12,-
2,2000,no,BEFORE & AFTER,-,"Founding father Patrick Henry's ""choice"" quote leads into the 1949 Tony-winning Best Play","\""Give me liberty or give me Death of a Salesman\""",2016-09-12,-
2,400,no,IT'S A PROCESS,-,Mucho methane is released from this process of injecting high-pressure fluid into underground rock to free gas & oil,fracking,2016-09-12,-
2,800,no,IT'S A PROCESS,-,"John Paul II emphasized beatification & this, & soon after his death, the process was fast-tracked for him",canonization,2016-09-12,-
2,1200,no,IT'S A PROCESS,-,"As well as a bathroom fixture, it can mean the process of grooming & dressing oneself",toilet,2016-09-12,-
2,1500,yes,IT'S A PROCESS,-,"The collodion process, involving an iodide & a glass plate, was an 1851 innovation in this then-new field",photography,2016-09-12,-
2,2000,no,IT'S A PROCESS,-,"U.S. military meals ready to eat are heated by this process, which is basically rusting",oxidation,2016-09-12,-
2,400,no,"COMMUNI""K""ATION",(Alex: Each correct response will begin with the letter K.),"AM radio broadcast frequencies are measured in these, 1000s of cycles per second",kilohertz,2016-09-12,-
2,800,no,"COMMUNI""K""ATION",(Alex: Each correct response will begin with the letter K.),With a smartphone you have access to a million apps; you want this kind that slays the others,a killer app,2016-09-12,-
2,1200,no,"COMMUNI""K""ATION",(Alex: Each correct response will begin with the letter K.),"Before videotape, TV shows were preserved via this process, filming directly from a TV monitor",kinescope,2016-09-12,-
2,1600,no,"COMMUNI""K""ATION",(Alex: Each correct response will begin with the letter K.),It's the amount of space between 2 printed letters,kerning,2016-09-12,-
2,2000,no,"COMMUNI""K""ATION",(Alex: Each correct response will begin with the letter K.),5-letter term for a Chinese ideograph used in Japanese writing,kanji,2016-09-12,-
3,0,no,ASIAN ISLANDS,-,"Phuket, the largest island of this country, has regained its tourism industry after a natural disaster in 2004",Thailand,2016-09-12,-
1,200,no,STATE CAPITAL ATTRACTIONS,-,"Henry Hudson Planetarium, Schuyler Mansion",Albany,2016-09-13,-
1,400,no,STATE CAPITAL ATTRACTIONS,-,"Magnolia Cemetery, Pete Maravich Assembly Center",Baton Rouge,2016-09-13,-
1,600,no,STATE CAPITAL ATTRACTIONS,-,"First State Heritage Park, Silver Lake",Dover,2016-09-13,-
1,1500,yes,STATE CAPITAL ATTRACTIONS,-,"Buffalo Trace Distillery, Daniel Boone Burial Site",Frankfort,2016-09-13,-
1,1000,no,STATE CAPITAL ATTRACTIONS,-,"Historic RCA Studio B, Belle Meade Plantation",Nashville,2016-09-13,-
1,200,no,SPICES,-,"Spanish for ""little gourd"", the guajillo is a mild type of these with a heat rating of 2,500-5,000 Scoville units",a chili (pepper),2016-09-13,-
1,400,no,SPICES,-,Trinidad lacked spices used in India but created its own type of this blend used in the island's unofficial national dish,curry,2016-09-13,-
1,600,no,SPICES,-,"The spices in Starbucks pumpkin spice latte topping are cinnamon, clove, ginger & this",nutmeg,2016-09-13,-
1,800,no,SPICES,-,Curcumin is a yellow pigment of this spice sometimes known as Indian saffron,turmeric,2016-09-13,-
1,1000,no,SPICES,-,Ouzo & pastis are flavored with this spice that tastes like licorice or fennel,anise,2016-09-13,-
